
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:20, Time:46.08184164912622, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:48.544388794146755, Value:84
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:21, Time:48.544388794146755, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:49.67913884414281, Value:89
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:22, Time:49.67913884414281, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:50.788275832451966, Value:95
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:23, Time:50.788275832451966, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:52.25338369164329, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:24, Time:52.25338369164329, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:17, Time:55.7606678199391, Value:19600.930525459957
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:56.22826147321173, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:26, Time:56.22826147321173, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:20, Time:57.583301817556645, Value:11501.460168430427
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:58.37106215567809, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:27, Time:58.37106215567809, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:27, Time:58.37106215567809, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:22, Time:59.049428353041016, Value:9370.289508898204
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:59.5279704228433, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:28, Time:59.5279704228433, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:28, Time:59.5279704228433, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:24, Time:63.1420100693206, Value:10888.626377677305
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:63.845906170876205, Value:20
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:64.0813745014426, Value:95
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:31, Time:64.0813745014426, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:9, Time:65.43453304240202, Value:41503.887269511964
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:65.98611681876487, Value:95
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:32, Time:65.98611681876487, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:67.46565534328677, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:33, Time:67.46565534328677, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:70.61489940098086, Value:21
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:70.69228449383978, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:35, Time:70.69228449383978, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:35, Time:70.69228449383978, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:71.69228449383978, Value:22
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:71.9580857981869, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:36, Time:71.9580857981869, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:33, Time:73.78139912146453, Value:6315.743778177762
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:32, Time:74.27938085401551, Value:8293.264035250644
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:75.4454133664499, Value:95
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:37, Time:75.4454133664499, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:76.78379224669395, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:38, Time:76.78379224669395, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:38, Time:82.34401299771248, Value:5560.2207510185335
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER LOGIN, User:None, Time:83.26263504621683, Value:19
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:83.26263504621683, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:39, Time:83.26263504621683, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:35, Time:85.44965901612878, Value:14757.374522288997
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:86.18384426387198, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:40, Time:86.18384426387198, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:40, Time:86.18384426387198, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:87.18384426387198, Value:23
